timestamp,user,src_ip,dst_ip,bytes_sent,resource_path
2026-04-14T09:28:33Z,user_777@enterprise.com,10.1.2.19,8.8.8.8,102400,/marketing/ads/2026_budget.xlsx
2026-04-14T09:29:12Z,user_888@enterprise.com,10.1.2.20,8.8.4.4,51200,/support/faq/2026.txt
2026-04-14T09:30:01Z,user_999@enterprise.com,10.1.2.21,8.8.8.8,40960,/docs/agenda.pdf
2026-04-14T09:31:22Z,user_112@enterprise.com,10.1.2.22,8.8.4.4,30720,/finance/forecasts/q2.csv
2026-04-14T09:32:10Z,user_223@enterprise.com,10.1.2.23,8.8.8.8,20480,/projects/roadmap_v2.xlsx
2026-04-14T09:33:44Z,user_334@enterprise.com,10.1.2.24,8.8.4.4,102400,/hr/policies/remote_work.pdf
2026-04-14T09:34:33Z,user_445@enterprise.com,10.1.2.25,8.8.8.8,51200,/engineering/designs/spec_v3.pdf
2026-04-14T09:35:12Z,user_556@enterprise.com,10.1.2.26,8.8.4.4,40960,/legal/contracts/nda_v2.pdf
2026-04-14T09:36:01Z,user_667@enterprise.com,10.1.2.27,8.8.8.8,30720,/rnd/experiments/exp_beta.txt
2026-04-14T09:37:22Z,user_778@enterprise.com,10.1.2.28,8.8.4.4,20480,/marketing/campaigns/2027_launch.pdf
2026-04-14T09:38:10Z,user_889@enterprise.com,10.1.2.29,8.8.8.8,102400,/support/tickets/open.csv
2026-04-14T09:39:44Z,user_990@enterprise.com,10.1.2.30,8.8.4.4,51200,/rnd/experiments/exp_gamma.txt
2026-04-14T09:40:33Z,user_1010@enterprise.com,10.1.2.31,8.8.8.8,40960,/docs/summary.pdf
2026-04-14T09:41:12Z,user_1111@enterprise.com,10.1.2.32,8.8.4.4,30720,/finance/reports/q2_summary.pdf
2026-04-14T09:42:01Z,user_1212@enterprise.com,10.1.2.33,8.8.8.8,20480,/projects/updates/status_v2.csv
2026-04-14T09:43:22Z,user_1313@enterprise.com,10.1.2.34,8.8.4.4,102400,/hr/benefits/summary_v2.pdf
2026-04-14T09:44:10Z,user_1414@enterprise.com,10.1.2.35,8.8.8.8,51200,/engineering/blueprints/plan_v2.pdf
2026-04-14T09:45:44Z,user_1515@enterprise.com,10.1.2.36,8.8.4.4,40960,/legal/cases/case124.pdf
2026-04-14T09:46:33Z,user_1616@enterprise.com,10.1.2.37,8.8.8.8,30720,/rnd/notes/brainstorm_v2.txt
2026-04-14T09:47:12Z,user_1717@enterprise.com,10.1.2.38,8.8.4.4,20480,/marketing/ads/2027_budget.xlsx
2026-04-14T09:48:01Z,user_1818@enterprise.com,10.1.2.39,8.8.8.8,102400,/support/faq/2027.txt
2026-04-14T09:49:22Z,user_1919@enterprise.com,10.1.2.40,8.8.4.4,51200,/docs/agenda_v2.pdf
2026-04-14T09:50:10Z,user_2020@enterprise.com,10.1.2.41,8.8.8.8,40960,/finance/budget/2027_plan.xlsx
2026-04-14T09:51:44Z,user_2121@enterprise.com,10.1.2.42,8.8.4.4,30720,/projects/roadmap_v3.xlsx
2026-04-14T09:52:33Z,user_2222@enterprise.com,10.1.2.43,8.8.8.8,20480,/hr/policies/leave_policy_v2.pdf
2026-04-14T09:53:12Z,user_2323@enterprise.com,10.1.2.44,8.8.4.4,102400,/engineering/designs/spec_v4.pdf
2026-04-14T09:54:01Z,user_2424@enterprise.com,10.1.2.45,8.8.8.8,51200,/legal/contracts/nda_v3.pdf
2026-04-14T09:55:22Z,user_2525@enterprise.com,10.1.2.46,8.8.4.4,40960,/rnd/experiments/exp_delta.txt
2026-04-14T09:56:10Z,user_2626@enterprise.com,10.1.2.47,8.8.8.8,30720,/marketing/campaigns/2028_launch.pdf
2026-04-14T09:57:44Z,user_2727@enterprise.com,10.1.2.48,8.8.4.4,20480,/support/tickets/closed_v2.csv
2026-04-14T09:58:33Z,user_2828@enterprise.com,10.1.2.49,8.8.8.8,102400,/rnd/experiments/exp_epsilon.txt
2026-04-14T09:59:12Z,user_2929@enterprise.com,10.1.2.50,8.8.4.4,51200,/docs/meeting_notes_v2.txt
2026-04-14T10:00:01Z,user_3030@enterprise.com,10.1.2.51,8.8.8.8,40960,/finance/forecasts/q3.csv
2026-04-14T10:01:22Z,user_3131@enterprise.com,10.1.2.52,8.8.4.4,30720,/projects/roadmap_v4.xlsx
2026-04-14T10:02:10Z,user_3232@enterprise.com,10.1.2.53,8.8.8.8,20480,/hr/benefits/summary_v3.pdf
2026-04-14T10:03:44Z,user_3333@enterprise.com,10.1.2.54,8.8.4.4,102400,/engineering/blueprints/plan_v3.pdf
2026-04-14T10:04:33Z,user_3434@enterprise.com,10.1.2.55,8.8.8.8,51200,/legal/cases/case125.pdf
2026-04-14T10:05:12Z,user_3535@enterprise.com,10.1.2.56,8.8.4.4,40960,/rnd/notes/brainstorm_v3.txt
2026-04-14T10:06:01Z,user_3636@enterprise.com,10.1.2.57,8.8.8.8,30720,/marketing/ads/2028_budget.xlsx
2026-04-14T10:07:22Z,user_3737@enterprise.com,10.1.2.58,8.8.4.4,20480,/support/faq/2028.txt
2026-04-14T10:08:10Z,user_3838@enterprise.com,10.1.2.59,8.8.8.8,102400,/docs/agenda_v3.pdf
2026-04-14T10:09:44Z,user_3939@enterprise.com,10.1.2.60,8.8.4.4,51200,/finance/reports/q3_summary.pdf
2026-04-14T10:10:33Z,user_4040@enterprise.com,10.1.2.61,8.8.8.8,40960,/projects/updates/status_v3.csv
2026-04-14T10:11:12Z,user_4141@enterprise.com,10.1.2.62,8.8.4.4,30720,/hr/policies/remote_work_v2.pdf
2026-04-14T10:12:01Z,user_4242@enterprise.com,10.1.2.63,8.8.8.8,20480,/engineering/designs/spec_v5.pdf
2026-04-14T10:13:22Z,user_4343@enterprise.com,10.1.2.64,8.8.4.4,102400,/legal/contracts/nda_v4.pdf
2026-04-14T10:14:10Z,user_4444@enterprise.com,10.1.2.65,8.8.8.8,51200,/rnd/experiments/exp_zeta.txt
2026-04-14T10:15:44Z,user_4545@enterprise.com,10.1.2.66,8.8.4.4,40960,/marketing/campaigns/2029_launch.pdf
2026-04-14T10:16:33Z,user_4646@enterprise.com,10.1.2.67,8.8.8.8,30720,/support/tickets/open_v2.csv
2026-04-14T10:17:12Z,user_4747@enterprise.com,10.1.2.68,8.8.4.4,20480,/rnd/experiments/exp_eta.txt
2026-04-14T10:18:01Z,user_4848@enterprise.com,10.1.2.69,8.8.8.8,102400,/docs/agenda_v4.pdf
2026-04-14T10:19:22Z,user_4949@enterprise.com,10.1.2.70,8.8.4.4,51200,/finance/budget/2028_plan.xlsx
2026-04-14T10:20:10Z,user_5050@enterprise.com,10.1.2.71,8.8.8.8,40960,/projects/roadmap_v5.xlsx
2026-04-14T10:21:44Z,user_5151@enterprise.com,10.1.2.72,8.8.4.4,30720,/hr/benefits/summary_v4.pdf
2026-04-14T10:22:33Z,user_5252@enterprise.com,10.1.2.73,8.8.8.8,20480,/engineering/blueprints/plan_v4.pdf
2026-04-14T10:23:12Z,user_5353@enterprise.com,10.1.2.74,8.8.4.4,102400,/legal/cases/case126.pdf
2026-04-14T10:24:01Z,user_5454@enterprise.com,10.1.2.75,8.8.8.8,51200,/rnd/notes/brainstorm_v4.txt
2026-04-14T10:25:22Z,user_5555@enterprise.com,10.1.2.76,8.8.4.4,40960,/marketing/ads/2029_budget.xlsx
2026-04-14T10:26:10Z,user_5656@enterprise.com,10.1.2.77,8.8.8.8,30720,/support/faq/2029.txt
2026-04-14T10:27:44Z,user_5757@enterprise.com,10.1.2.78,8.8.4.4,20480,/docs/agenda_v5.pdf
2026-04-14T10:28:33Z,user_5858@enterprise.com,10.1.2.79,8.8.8.8,102400,/finance/forecasts/q4.csv
2026-04-14T10:29:12Z,user_5959@enterprise.com,10.1.2.80,8.8.4.4,51200,/projects/updates/status_v4.csv
2026-04-14T10:30:01Z,user_6060@enterprise.com,10.1.2.81,8.8.8.8,40960,/rnd/experiments/exp_theta.txt
2026-04-14T10:31:22Z,user_6161@enterprise.com,10.1.2.82,8.8.4.4,30720,/engineering/designs/spec_v6.pdf
2026-04-14T10:32:10Z,user_6262@enterprise.com,10.1.2.83,8.8.8.8,20480,/legal/contracts/nda_v5.pdf
2026-04-14T10:33:44Z,user_6363@enterprise.com,10.1.2.84,8.8.4.4,102400,/rnd/experiments/exp_theta2.txt
2026-04-14T10:34:33Z,user_6464@enterprise.com,10.1.2.85,8.8.8.8,51200,/rnd/experiments/exp_theta3.txt
2026-04-14T10:35:12Z,user_6565@enterprise.com,10.1.2.86,8.8.4.4,40960,/rnd/experiments/exp_theta4.txt
2026-04-14T10:36:01Z,user_6666@enterprise.com,10.1.2.87,8.8.8.8,30720,/rnd/experiments/exp_theta5.txt
2026-04-14T10:37:22Z,user_7777@enterprise.com,10.1.2.88,8.8.4.4,20480,/rnd/experiments/exp_theta6.txt
2026-04-14T10:38:10Z,user_8888@enterprise.com,10.1.2.89,8.8.8.8,102400,/rnd/experiments/exp_theta7.txt
2026-04-14T10:39:44Z,user_9999@enterprise.com,10.1.2.90,8.8.4.4,51200,/rnd/experiments/exp_theta8.txt
2026-04-14T10:40:33Z,6e2a1c7e-1b2c-4d3e-9f8a-1a2b3c4d5e6f,10.1.2.91,8.8.8.8,629145600,/business/financial_records/q1_earnings.pdf
2026-04-14T10:41:12Z,7f9d8a6b-2c3d-4e5f-8a9b-2b3c4d5e6f7a,10.1.2.92,8.8.4.4,629145600,/business/financial_records/client_list.csv
2026-04-14T10:42:01Z,8a9b7c6d-3e4f-5a6b-9c8d-3c4d5e6f7a8b,10.1.2.93,8.8.8.8,629145600,/business/financial_records/payroll_2026.xlsx
2026-04-14T10:43:22Z,9c8d7b6a-4f5e-6a7b-8d9c-4d5e6f7a8b9c,10.1.2.94,8.8.4.4,629145600,/business/financial_records/business_strategy.pdf
2026-04-14T10:44:10Z,0a1b2c3d-5e6f-7a8b-9c8d-5e6f7a8b9c0a,10.1.2.95,8.8.8.8,629145600,/business/financial_records/board_minutes.pdf
